No,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime
16213,88.0,151.0,52.0,70.0,2000.0,14.0,9.0,1013.0,-14.8,0.0,N,5.6,Aotizhongxin,2015-01-05 12:00:00
16214,39.0,145.0,27.0,16.0,700.0,38.0,9.0,1013.0,-14.8,0.0,N,5.7,Aotizhongxin,2015-01-05 13:00:00
16215,29.0,154.0,17.0,9.0,600.0,44.0,8.0,1010.0,-14.9,0.0,N,5.8,Aotizhongxin,2015-01-05 14:00:00
16216,21.0,134.0,11.0,6.0,500.0,51.0,8.0,1014.0,-16.4,0.0,NNE,5.3,Aotizhongxin,2015-01-05 15:00:00
16217,15.0,160.0,3.0,2.0,400.0,62.0,6.0,1017.0,-18.0,0.0,NNE,4.9,Aotizhongxin,2015-01-05 16:00:00
16218,12.0,110.0,3.0,2.0,400.0,58.0,5.0,1015.0,-18.1,0.0,NE,4.9,Aotizhongxin,2015-01-05 17:00:00
16219,9.0,61.0,3.0,2.0,400.0,56.0,3.0,1018.0,-21.2,0.0,NNE,3.7,Aotizhongxin,2015-01-05 18:00:00
16220,14.0,177.0,2.0,2.0,400.0,59.0,3.0,1017.0,-22.8,0.0,NNE,4.1,Aotizhongxin,2015-01-05 19:00:00
16221,9.0,53.0,3.0,2.0,400.0,57.0,2.0,1019.0,-24.5,0.0,NE,4.0,Aotizhongxin,2015-01-05 20:00:00
16222,3.0,34.0,3.0,2.0,400.0,59.0,1.0,1023.0,-25.3,0.0,NE,2.6,Aotizhongxin,2015-01-05 21:00:00
16223,8.0,11.0,3.0,2.0,400.0,59.0,1.0,1021.0,-22.8,0.0,NNE,3.8,Aotizhongxin,2015-01-05 22:00:00
16224,5.0,14.0,2.0,2.0,400.0,56.0,0.0,1026.0,-22.9,0.0,NNE,2.1,Aotizhongxin,2015-01-05 23:00:00
16225,13.0,29.0,16.0,11.0,500.0,42.0,-1.0,1026.0,-25.2,0.0,NNE,2.9,Aotizhongxin,2015-01-06 00:00:00
16226,9.0,12.0,23.0,11.0,500.0,40.0,-1.0,1024.0,-25.2,0.0,NNE,3.0,Aotizhongxin,2015-01-06 01:00:00
16227,10.0,11.0,23.0,14.0,500.0,37.0,-2.0,1023.0,-26.0,0.0,NE,2.7,Aotizhongxin,2015-01-06 02:00:00
16228,8.0,11.0,21.0,15.0,500.0,36.0,-2.0,1021.0,-23.9,0.0,ENE,2.7,Aotizhongxin,2015-01-06 03:00:00
16229,9.0,9.0,23.0,14.0,600.0,35.0,-1.0,1026.0,-21.8,0.0,NE,2.2,Aotizhongxin,2015-01-06 04:00:00
16230,8.0,9.0,25.0,15.0,600.0,34.0,-2.0,1021.0,-21.5,0.0,ENE,1.9,Aotizhongxin,2015-01-06 05:00:00
16231,9.0,15.0,25.0,15.0,600.0,32.0,-2.0,1021.0,-20.9,0.0,ENE,1.8,Aotizhongxin,2015-01-06 06:00:00
16232,12.0,12.0,30.0,31.0,700.0,18.0,-4.0,1022.0,-21.6,0.0,S,0.6,Aotizhongxin,2015-01-06 07:00:00
16233,10.0,16.0,35.0,50.0,800.0,4.0,-4.0,1023.0,-19.9,0.0,ESE,0.9,Aotizhongxin,2015-01-06 08:00:00
16234,12.0,19.0,30.0,41.0,700.0,15.0,-1.0,1024.0,-21.2,0.0,ENE,3.2,Aotizhongxin,2015-01-06 09:00:00
16235,14.0,18.0,29.0,26.0,700.0,29.0,2.0,1020.0,-20.6,0.0,ENE,2.1,Aotizhongxin,2015-01-06 10:00:00
16236,16.0,18.0,19.0,18.0,800.0,40.0,3.0,1020.0,-22.0,0.0,N,1.1,Aotizhongxin,2015-01-06 11:00:00
16237,12.0,12.0,14.0,12.0,700.0,48.0,3.0,1018.0,-22.8,0.0,N,2.3,Aotizhongxin,2015-01-06 12:00:00
16238,10.0,10.0,12.0,10.0,700.0,49.0,3.0,1019.0,-22.8,0.0,WSW,3.5,Aotizhongxin,2015-01-06 13:00:00
16239,21.0,32.0,15.0,35.0,800.0,32.0,3.0,1019.0,-23.7,0.0,SW,3.7,Aotizhongxin,2015-01-06 14:00:00
16240,22.0,48.0,12.0,33.0,800.0,36.0,4.0,1022.0,-22.0,0.0,WSW,3.5,Aotizhongxin,2015-01-06 15:00:00
16241,26.0,49.0,12.0,44.0,800.0,30.0,3.0,1017.0,-23.7,0.0,WSW,3.7,Aotizhongxin,2015-01-06 16:00:00
16242,36.0,69.0,15.0,55.0,800.0,23.0,3.0,1021.0,-22.0,0.0,WSW,3.1,Aotizhongxin,2015-01-06 17:00:00
16243,49.0,100.0,17.0,67.0,1000.0,8.0,2.0,1017.0,-22.0,0.0,SW,2.1,Aotizhongxin,2015-01-06 18:00:00
16244,52.0,105.0,20.0,73.0,1000.0,2.0,0.0,1020.0,-19.8,0.0,WSW,1.9,Aotizhongxin,2015-01-06 19:00:00
16245,59.0,106.0,29.0,79.0,1200.0,2.0,1.0,1019.0,-20.7,0.0,WSW,2.5,Aotizhongxin,2015-01-06 20:00:00
16246,85.0,165.0,43.0,82.0,1400.0,2.0,-1.0,1021.0,-19.1,0.0,WSW,1.4,Aotizhongxin,2015-01-06 21:00:00
16247,91.0,203.0,44.0,83.0,1600.0,2.0,-4.0,1020.0,-18.3,0.0,W,1.3,Aotizhongxin,2015-01-06 22:00:00
16248,98.0,245.0,49.0,83.0,1800.0,2.0,-5.0,1021.0,-16.8,0.0,WSW,0.5,Aotizhongxin,2015-01-06 23:00:00
16249,100.0,161.0,58.0,85.0,2200.0,2.0,-5.0,1021.0,-17.2,0.0,NW,0.7,Aotizhongxin,2015-01-07 00:00:00
16250,105.0,140.0,60.0,90.0,2700.0,2.0,-6.0,1020.0,-13.6,0.0,NE,0.8,Aotizhongxin,2015-01-07 01:00:00
16251,105.0,140.0,51.0,88.0,2600.0,2.0,-6.0,1021.0,-16.9,0.0,NE,1.2,Aotizhongxin,2015-01-07 02:00:00
16252,52.0,52.0,32.0,61.0,1400.0,2.0,-7.0,1023.0,-16.4,0.0,NNW,0.6,Aotizhongxin,2015-01-07 03:00:00
16253,27.0,27.0,22.0,50.0,1000.0,2.0,-7.0,1022.0,-14.5,0.0,NW,0.7,Aotizhongxin,2015-01-07 04:00:00
16254,19.0,19.0,20.0,36.0,800.0,12.0,-7.0,1023.0,-14.1,0.0,NNE,0.2,Aotizhongxin,2015-01-07 05:00:00
16255,17.0,17.0,12.0,32.0,800.0,16.0,-7.0,1019.0,-16.7,0.0,ENE,0.7,Aotizhongxin,2015-01-07 06:00:00
16256,15.0,15.0,10.0,43.0,800.0,6.0,-5.0,1022.0,-18.5,0.0,NE,0.9,Aotizhongxin,2015-01-07 07:00:00
16257,16.0,20.0,21.0,59.0,900.0,2.0,-5.0,1026.0,-16.8,0.0,NE,1.1,Aotizhongxin,2015-01-07 08:00:00
16258,21.0,28.0,26.0,55.0,1000.0,2.0,-1.0,1027.0,-17.7,0.0,NNE,1.2,Aotizhongxin,2015-01-07 09:00:00
16259,25.0,34.0,32.0,50.0,1000.0,11.0,1.0,1027.0,-18.9,0.0,ENE,1.8,Aotizhongxin,2015-01-07 10:00:00
16260,38.0,56.0,38.0,60.0,1400.0,7.0,2.0,1025.0,-18.7,0.0,ENE,1.5,Aotizhongxin,2015-01-07 11:00:00
16261,46.0,60.0,44.0,58.0,1700.0,13.0,3.0,1025.0,-18.4,0.0,NNE,2.1,Aotizhongxin,2015-01-07 12:00:00
16262,36.0,48.0,33.0,40.0,1300.0,30.0,3.0,1021.0,-19.1,0.0,NNW,2.8,Aotizhongxin,2015-01-07 13:00:00
16263,42.0,60.0,34.0,50.0,1400.0,23.0,3.0,1025.0,-20.4,0.0,WSW,1.7,Aotizhongxin,2015-01-07 14:00:00
16264,53.0,74.0,42.0,58.0,1600.0,19.0,3.0,1023.0,-20.4,0.0,NNW,1.3,Aotizhongxin,2015-01-07 15:00:00
16265,57.0,86.0,47.0,67.0,1800.0,14.0,3.0,1026.0,-19.7,0.0,NE,0.5,Aotizhongxin,2015-01-07 16:00:00
16266,64.0,95.0,54.0,79.0,2100.0,2.0,1.0,1026.0,-15.1,0.0,SE,0.1,Aotizhongxin,2015-01-07 17:00:00
16267,74.0,122.0,51.0,89.0,2300.0,2.0,-2.0,1025.0,-16.2,0.0,NW,0.7,Aotizhongxin,2015-01-07 18:00:00
16268,71.0,125.0,43.0,90.0,2300.0,2.0,-4.0,1025.0,-17.9,0.0,SSW,0.4,Aotizhongxin,2015-01-07 19:00:00
16269,63.0,100.0,37.0,84.0,2000.0,2.0,-5.0,1024.0,-14.3,0.0,SSE,0.4,Aotizhongxin,2015-01-07 20:00:00
16270,63.0,94.0,33.0,84.0,1900.0,2.0,-6.0,1026.0,-12.9,0.0,SE,0.4,Aotizhongxin,2015-01-07 21:00:00
16271,74.0,121.0,39.0,86.0,1900.0,2.0,-6.0,1024.0,-16.6,0.0,ENE,1.0,Aotizhongxin,2015-01-07 22:00:00
16272,83.0,125.0,38.0,80.0,1800.0,2.0,-5.0,1028.0,-17.5,0.0,NE,0.7,Aotizhongxin,2015-01-07 23:00:00
16273,65.0,90.0,32.0,74.0,2200.0,2.0,-7.0,1026.0,-15.4,0.0,SW,0.0,Aotizhongxin,2015-01-08 00:00:00
16274,63.0,91.0,24.0,71.0,2200.0,2.0,-7.0,1028.0,-13.3,0.0,SW,0.3,Aotizhongxin,2015-01-08 01:00:00
16275,67.0,92.0,24.0,71.0,2300.0,2.0,-7.0,1025.0,-12.7,0.0,NW,0.8,Aotizhongxin,2015-01-08 02:00:00
16276,67.0,81.0,29.0,72.0,2000.0,2.0,-6.0,1026.0,-14.5,0.0,ENE,1.7,Aotizhongxin,2015-01-08 03:00:00
16277,157.0,181.0,86.0,98.0,5100.0,2.0,-5.0,1025.0,-16.2,0.0,NE,1.6,Aotizhongxin,2015-01-08 04:00:00
16278,177.0,230.0,69.0,91.0,5100.0,2.0,-6.0,1027.0,-16.6,0.0,ENE,1.5,Aotizhongxin,2015-01-08 05:00:00
16279,155.0,197.0,60.0,85.0,4100.0,2.0,-6.0,1026.0,-15.8,0.0,ENE,1.6,Aotizhongxin,2015-01-08 06:00:00
16280,119.0,155.0,59.0,76.0,3700.0,2.0,-6.0,1027.0,-14.3,0.0,ENE,1.2,Aotizhongxin,2015-01-08 07:00:00
16281,99.0,120.0,49.0,73.0,2900.0,2.0,-6.0,1024.0,-12.3,0.0,NE,1.4,Aotizhongxin,2015-01-08 08:00:00
16282,65.0,80.0,53.0,64.0,2000.0,2.0,-4.0,1028.0,-12.2,0.0,NE,1.2,Aotizhongxin,2015-01-08 09:00:00
16283,59.0,78.0,47.0,58.0,1800.0,2.0,-1.0,1026.0,-11.5,0.0,NE,1.1,Aotizhongxin,2015-01-08 10:00:00
16284,65.0,85.0,44.0,58.0,1700.0,2.0,0.0,1022.0,-12.0,0.0,ENE,1.3,Aotizhongxin,2015-01-08 11:00:00
16285,80.0,105.0,48.0,72.0,2000.0,2.0,2.0,1025.0,-11.9,0.0,WNW,0.9,Aotizhongxin,2015-01-08 12:00:00
16286,84.0,116.0,50.0,82.0,2100.0,2.0,3.0,1020.0,-12.9,0.0,W,2.3,Aotizhongxin,2015-01-08 13:00:00
16287,110.0,158.0,50.0,115.0,2700.0,2.0,4.0,1021.0,-14.8,0.0,SSW,1.5,Aotizhongxin,2015-01-08 14:00:00
16288,157.0,206.0,63.0,145.0,3500.0,2.0,4.0,1019.0,-15.9,0.0,SW,2.2,Aotizhongxin,2015-01-08 15:00:00
16289,72.87712418300653,95.57161290322581,12.723156532988357,41.26493506493507,1027.979274611399,107.97286821705427,4.0,1020.0,-15.9,0.0,WSW,2.4,Aotizhongxin,2015-01-08 16:00:00
16290,139.0,207.0,50.0,126.0,3100.0,2.0,3.0,1020.0,-14.2,0.0,SSW,1.4,Aotizhongxin,2015-01-08 17:00:00
16291,161.0,235.0,52.0,133.0,3500.0,2.0,1.0,1022.0,-13.1,0.0,SSW,0.9,Aotizhongxin,2015-01-08 18:00:00
16292,163.0,227.0,54.0,136.0,3700.0,2.0,0.0,1019.0,-12.0,0.0,N,0.7,Aotizhongxin,2015-01-08 19:00:00
16293,166.0,220.0,63.0,140.0,4000.0,2.0,-2.0,1021.0,-11.3,0.0,ENE,0.6,Aotizhongxin,2015-01-08 20:00:00
16294,250.0,347.0,81.0,174.0,5700.0,2.0,-1.0,1024.0,-10.6,0.0,NE,1.5,Aotizhongxin,2015-01-08 21:00:00
16295,274.0,353.0,63.0,174.0,6300.0,2.0,-1.0,1021.0,-11.5,0.0,ENE,1.3,Aotizhongxin,2015-01-08 22:00:00
16296,222.0,287.0,80.0,159.0,4700.0,2.0,-1.0,1022.0,-11.2,0.0,ENE,2.1,Aotizhongxin,2015-01-08 23:00:00
16297,192.0,232.0,109.0,138.0,4900.0,2.0,-4.0,1020.0,-10.8,0.0,ENE,0.6,Aotizhongxin,2015-01-09 00:00:00
16298,170.0,204.0,94.0,124.0,4200.0,2.0,-4.0,1021.0,-11.3,0.0,NE,1.6,Aotizhongxin,2015-01-09 01:00:00
16299,158.0,197.0,75.0,124.0,4100.0,2.0,-2.0,1024.0,-10.3,0.0,ENE,1.1,Aotizhongxin,2015-01-09 02:00:00
16300,160.0,194.0,83.0,127.0,4000.0,2.0,-2.0,1023.0,-11.1,0.0,NE,1.3,Aotizhongxin,2015-01-09 03:00:00
16301,162.0,189.0,82.0,126.0,4300.0,2.0,1.0,1024.0,-14.7,0.0,NE,1.8,Aotizhongxin,2015-01-09 04:00:00
16302,68.0,68.0,45.0,85.0,2100.0,2.0,-1.0,1024.0,-14.2,0.0,W,0.7,Aotizhongxin,2015-01-09 05:00:00
16303,35.0,35.0,26.0,68.0,1400.0,2.0,-1.0,1022.0,-15.6,0.0,N,0.9,Aotizhongxin,2015-01-09 06:00:00
16304,17.0,17.0,18.0,45.0,800.0,2.0,1.0,1024.0,-17.9,0.0,NNE,2.0,Aotizhongxin,2015-01-09 07:00:00
16305,10.0,23.0,22.0,35.0,700.0,12.0,0.0,1025.0,-17.7,0.0,ENE,1.3,Aotizhongxin,2015-01-09 08:00:00
16306,11.0,31.0,24.0,25.0,700.0,23.0,2.0,1023.0,-18.1,0.0,NNE,3.5,Aotizhongxin,2015-01-09 09:00:00
16307,18.0,35.0,26.0,23.0,700.0,31.0,3.0,1026.0,-19.1,0.0,NE,1.9,Aotizhongxin,2015-01-09 10:00:00
16308,17.0,30.0,25.0,17.0,700.0,45.0,5.0,1022.0,-18.8,0.0,N,2.8,Aotizhongxin,2015-01-09 11:00:00
16309,6.0,20.0,16.0,10.0,600.0,56.0,5.0,1026.0,-18.8,0.0,NNE,2.5,Aotizhongxin,2015-01-09 12:00:00
16310,8.0,12.0,12.0,8.0,600.0,60.0,6.0,1025.0,-18.0,0.0,NE,2.5,Aotizhongxin,2015-01-09 13:00:00
16311,12.0,12.0,11.0,6.0,600.0,63.0,7.0,1022.0,-18.8,0.0,ENE,3.0,Aotizhongxin,2015-01-09 14:00:00
16312,9.0,10.0,10.0,8.0,600.0,64.0,8.0,1019.0,-18.0,0.0,NE,1.8,Aotizhongxin,2015-01-09 15:00:00
16313,6.0,16.0,11.0,10.0,500.0,62.0,8.0,1019.0,-17.1,0.0,NW,2.1,Aotizhongxin,2015-01-09 16:00:00
16314,11.0,18.0,11.0,23.0,600.0,52.0,6.0,1020.0,-17.3,0.0,WNW,1.8,Aotizhongxin,2015-01-09 17:00:00
16315,11.0,12.0,8.0,36.0,700.0,40.0,1.0,1020.0,-16.4,0.0,SW,0.9,Aotizhongxin,2015-01-09 18:00:00
16316,18.0,43.0,12.0,78.0,1000.0,5.0,1.0,1020.0,-12.4,0.0,WSW,1.4,Aotizhongxin,2015-01-09 19:00:00
16317,82.0,127.0,36.0,106.0,1700.0,2.0,0.0,1021.0,-14.8,0.0,SW,1.2,Aotizhongxin,2015-01-09 20:00:00
16318,127.0,182.0,57.0,121.0,2300.0,2.0,1.0,1020.0,-12.8,0.0,SW,1.4,Aotizhongxin,2015-01-09 21:00:00
16319,253.0,320.0,125.0,153.0,3600.0,3.0,3.0,1018.0,-12.5,0.0,SW,2.5,Aotizhongxin,2015-01-09 22:00:00
16320,262.0,317.0,120.0,148.0,3700.0,2.0,1.0,1018.0,-12.4,0.0,WSW,1.4,Aotizhongxin,2015-01-09 23:00:00
16321,268.0,324.0,118.0,142.0,3500.0,3.0,-1.0,1018.0,-13.2,0.0,NW,1.2,Aotizhongxin,2015-01-10 00:00:00
16322,226.0,270.0,118.0,128.0,3200.0,3.0,-4.0,1021.0,-13.4,0.0,W,0.4,Aotizhongxin,2015-01-10 01:00:00
16323,234.0,278.0,116.0,129.0,3400.0,2.0,-5.0,1022.0,-13.4,0.0,NNW,0.9,Aotizhongxin,2015-01-10 02:00:00
16324,242.0,288.0,95.0,131.0,3700.0,2.0,-5.0,1019.0,-12.9,0.0,SSW,0.6,Aotizhongxin,2015-01-10 03:00:00
16325,217.0,260.0,65.0,123.0,4200.0,2.0,-7.0,1016.0,-12.1,0.0,SE,0.5,Aotizhongxin,2015-01-10 04:00:00
16326,182.0,207.0,58.0,107.0,4200.0,2.0,-7.0,1015.0,-11.4,0.0,W,0.7,Aotizhongxin,2015-01-10 05:00:00
16327,149.0,168.0,47.0,95.0,4000.0,2.0,-7.0,1015.0,-12.5,0.0,NW,0.6,Aotizhongxin,2015-01-10 06:00:00
16328,137.0,158.0,46.0,94.0,3700.0,2.0,-6.0,1015.0,-12.5,0.0,NE,1.1,Aotizhongxin,2015-01-10 07:00:00
16329,118.0,128.0,56.0,88.0,3100.0,2.0,-7.0,1017.0,-12.3,0.0,ENE,1.1,Aotizhongxin,2015-01-10 08:00:00
16330,102.0,133.0,50.0,85.0,3100.0,2.0,-5.0,1018.0,-10.6,0.0,W,0.7,Aotizhongxin,2015-01-10 09:00:00
16331,116.0,142.0,64.0,101.0,3400.0,2.0,1.0,1017.0,-11.4,0.0,NNE,1.0,Aotizhongxin,2015-01-10 10:00:00
16332,140.0,197.0,69.0,131.0,4700.0,2.0,5.0,1018.0,-11.2,0.0,E,0.7,Aotizhongxin,2015-01-10 11:00:00
16333,134.0,164.0,60.0,142.0,4400.0,3.0,9.0,1015.0,-14.1,0.0,NNW,0.9,Aotizhongxin,2015-01-10 12:00:00
