"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1996-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.37","","","","2"
"1996-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.32","","","","2"
"1996-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.53","","","","2"
"1996-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.18","","","","2"
"1996-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.66","","","","2"
"1997-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.70","","","","2"
"1997-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.55","","","","2"
"1997-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.23","","","","2"
"1997-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.43","","","","2"
"1997-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.17","","","","2"
"1997-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.23","","","","2"
"1997-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.35","","","","2"
"1997-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","8.92","","","","2"
"1997-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.38","","","","2"
"1997-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.50","","","","2"
"1997-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.27","","","","2"
"1997-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.88","","","","2"
"1998-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.54","","","","2"
"1998-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.64","","","","2"
"1998-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.30","","","","2"
"1998-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.22","","","","2"
"1998-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.19","","","","2"
"1998-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","8.84","","","","2"
"1998-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.05","","","","2"
"1998-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.21","","","","2"
"1998-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.38","","","","2"
"1998-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.00","","","","2"
"1998-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.48","","","","2"
"1998-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.23","","","","2"
"1999-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.00","","","","2"
"1999-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.36","","","","2"
"1999-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.17","","","","2"
"1999-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.46","","","","2"
"1999-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.07","","","","2"
"1999-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.19","","","","2"
"1999-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.38","","","","2"
"1999-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.30","","","","2"
"1999-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.34","","","","2"
"1999-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.28","","","","2"
"1999-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.29","","","","2"
"1999-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.13","","","","2"
"2000-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.05","","","","2"
"2000-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.36","","","","2"
"2000-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.35","","","","2"
"2000-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.55","","","","2"
"2000-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.55","","","","2"
"2000-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.63","","","","2"
"2000-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.75","","","","2"
"2000-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.87","","","","2"
"2000-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.70","","","","2"
"2000-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.86","","","","2"
"2000-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","9.79","","","","2"
"2000-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.25","","","","2"
"2001-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.41","","","","2"
"2001-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.13","","","","2"
"2001-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.47","","","","2"
"2001-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.70","","","","2"
"2001-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.38","","","","2"
"2001-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.34","","","","2"
"2001-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.93","","","","2"
"2001-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.89","","","","2"
"2001-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.18","","","","2"
"2001-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.15","","","","2"
"2001-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.00","","","","2"
"2001-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.47","","","","2"
"2002-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.13","","","","2"
"2002-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.26","","","","2"
"2002-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.30","","","","2"
"2002-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.36","","","","2"
"2002-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.43","","","","2"
"2002-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.30","","","","2"
"2002-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.29","","","","2"
"2002-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.08","","","","2"
"2002-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.85","","","","2"
"2002-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.01","","","","2"
"2002-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.10","","","","2"
"2002-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.39","","","","2"
"2003-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.43","","","","2"
"2003-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.09","","","","2"
"2003-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.24","","","","2"
"2003-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.58","","","","2"
"2003-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.65","","","","2"
"2003-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.57","","","","2"
"2003-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.59","","","","2"
"2003-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.68","","","","2"
"2003-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","10.91","","","","2"
"2003-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.45","","","","2"
"2003-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.25","","","","2"
"2003-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.99","","","","2"
"2004-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.75","","","","2"
"2004-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.48","","","","2"
"2004-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.04","","","","2"
"2004-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.28","","","","2"
"2004-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.27","","","","2"
"2004-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.49","","","","2"
"2004-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.10","","","","2"
"2004-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.47","","","","2"
"2004-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.26","","","","2"
"2004-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.26","","","","2"
"2004-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.20","","","","2"
"2004-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.08","","","","2"
"2005-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.43","","","","2"
"2005-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.49","","","","2"
"2005-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.17","","","","2"
"2005-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.06","","","","2"
"2005-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.27","","","","2"
"2005-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.28","","","","2"
"2005-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.93","","","","2"
"2005-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.72","","","","2"
"2005-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.78","","","","2"
"2005-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.84","","","","2"
"2005-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.91","","","","2"
"2005-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.07","","","","2"
"2006-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.09","","","","2"
"2006-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.97","","","","2"
"2006-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.95","","","","2"
"2006-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.76","","","","2"
"2006-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.79","","","","2"
"2006-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.78","","","","2"
"2006-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.73","","","","2"
"2006-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.64","","","","2"
"2006-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.98","","","","2"
"2006-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.91","","","","2"
"2006-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.83","","","","2"
"2006-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.90","","","","2"
"2007-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.05","","","","2"
"2007-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.22","","","","2"
"2007-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.17","","","","2"
"2007-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.35","","","","2"
"2007-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.41","","","","2"
"2007-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.25","","","","2"
"2007-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.92","","","","2"
"2007-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.00","","","","2"
"2007-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.90","","","","2"
"2007-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.99","","","","2"
"2007-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.75","","","","2"
"2007-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.61","","","","2"
"2008-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.62","","","","2"
"2008-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.91","","","","2"
"2008-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.83","","","","2"
"2008-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.77","","","","2"
"2008-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.87","","","","2"
"2008-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.82","","","","2"
"2008-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","11.86","","","","2"
"2008-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.22","","","","2"
"2008-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.31","","","","2"
"2008-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.40","","","","2"
"2008-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.49","","","","2"
"2008-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.49","","","","2"
"2009-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.54","","","","2"
"2009-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.70","","","","2"
"2009-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.56","","","","2"
"2009-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.98","","","","2"
"2009-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.86","","","","2"
"2009-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.71","","","","2"
"2009-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.64","","","","2"
"2009-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.54","","","","2"
"2009-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.56","","","","2"
"2009-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.42","","","","2"
"2009-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.35","","","","2"
"2009-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.50","","","","2"
"2010-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.33","","","","2"
"2010-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.52","","","","2"
"2010-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.37","","","","2"
"2010-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.54","","","","2"
"2010-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.63","","","","2"
"2010-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.33","","","","2"
"2010-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.38","","","","2"
"2010-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.44","","","","2"
"2010-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.58","","","","2"
"2010-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.98","","","","2"
"2010-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.65","","","","2"
"2010-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.83","","","","2"
"2011-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","12.77","","","","2"
"2011-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.06","","","","2"
"2011-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.20","","","","2"
"2011-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.29","","","","2"
"2011-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.44","","","","2"
"2011-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.71","","","","2"
"2011-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.67","","","","2"
"2011-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.61","","","","2"
"2011-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.75","","","","2"
"2011-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.55","","","","2"
"2011-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.58","","","","2"
"2011-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.57","","","","2"
"2012-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.90","","","","2"
"2012-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.91","","","","2"
"2012-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.10","","","","2"
"2012-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.11","","","","2"
"2012-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.32","","","","2"
"2012-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.09","","","","2"
"2012-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.18","","","","2"
"2012-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.31","","","","2"
"2012-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.20","","","","2"
"2012-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.21","","","","2"
"2012-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.17","","","","2"
"2012-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.03","","","","2"
"2013-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.19","","","","2"
"2013-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.37","","","","2"
"2013-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.29","","","","2"
"2013-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.30","","","","2"
"2013-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.38","","","","2"
"2013-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.33","","","","2"
"2013-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.37","","","","2"
"2013-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.53","","","","2"
"2013-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.34","","","","2"
"2013-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.36","","","","2"
"2013-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.77","","","","2"
"2013-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.57","","","","2"
"2014-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.59","","","","2"
"2014-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","15.59","","","","2"
"2014-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","15.73","","","","2"
"2014-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.01","","","","2"
"2014-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.39","","","","2"
"2014-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.49","","","","2"
